rank,title,Revenues,Profits,Latitude,Longitude
482,Booz Allen Hamilton,5804,252.5,38.9338676,-77.1772604
483,First American Financial,5772,423,33.7454725,-117.867653
484,Cincinnati Financial,5732,1045,39.3454673,-84.5603187
485,Avon Products,5716,22,40.9806535,-73.6837399
486,Northern Trust,5716,1199,41.8781136,-87.6297982
487,Fiserv,5696,1246,43.0605671,-88.1064787
488,Harley-Davidson,5647,521.8,43.0389025,-87.9064736
489,Cheniere Energy,5601,-393,29.7604267,-95.3698028
490,Patterson,5593,170.9,44.9537029,-93.0899578
491,Peabody Energy,5579,-,38.6270025,-90.1994042
492,ON Semiconductor,5543,810.7,33.4483771,-112.0740373
493,Simon Property Group,5539,1948,39.768403,-86.158068
494,Western Union,5524,-557.1,39.6477653,-104.9877597
495,NetApp,5519,509,37.36883,-122.0363496
496,Polaris Industries,5505,172.5,45.0352411,-93.5824586
497,Pioneer Natural Resources,5455,833,32.8140177,-96.9488945
498,ABM Industries,5454,3.8,40.7127753,-74.0059728
499,Vistra Energy,5430,-254,32.8140177,-96.9488945
500,Cintas,5429,480.7,39.1031182,-84.5120196
