rank,title,Revenues,Profits,Latitude,Longitude
113,Arrow Electronics,26813,402,39.5807452,-104.8771726
114,Kraft Heinz,26232,10999,40.4406248,-79.9958864
115,Plains GP Holdings,26223,-731,29.7604267,-95.3698028
116,Gilead Sciences,26107,4628,37.5585465,-122.2710788
117,Mondelez International,25896,2922,42.1711365,-87.8445119
118,Northrop Grumman,25803,2015,38.882334,-77.1710914
119,Raytheon,25348,2024,42.3764852,-71.2356113
120,Macys,24837,1547,39.1031182,-84.5120196
121,US Foods Holding,24147,444.3,41.9867507,-87.8721602
122,U.S. Bancorp,23996,6218,44.977753,-93.2650108
123,Dollar General,23471,1539,36.3231066,-86.7133302
124,International Paper,23302,2144,35.1495343,-90.0489801
125,Duke Energy,23189,3059,35.2270869,-80.8431267
126,Southern,23031,842,33.7489954,-84.3879824
127,Marriott International,22894,1372,38.984652,-77.0947092
128,Avnet,22872,525.3,33.4483771,-112.0740373
129,Eli Lilly,22871,-204.1,39.768403,-86.158068
130,Amgen,22849,1979,34.1705609,-118.8375937
131,McDonalds,22820,5192.3,41.8397865,-87.9535534
132,Starbucks,22387,2884.7,47.6062095,-122.3320708
133,Qualcomm,22291,2466,32.715738,-117.1610838
134,Dollar Tree,22246,1714.3,36.7682088,-76.2874927
135,PBF Energy,21787,415.5,40.8652865,-74.4173877
136,Icahn Enterprises,21744,2430,40.7127753,-74.0059728
137,Aflac,21667,4604,32.4609764,-84.9877094
138,AutoNation,21535,434.6,26.1224386,-80.1373174
139,Penske Automotive Group,21389,613.3,42.583645,-83.2454883
140,Whirlpool,21253,350,42.1167065,-86.4541894
141,Union Pacific,21240,10712,41.2565369,-95.9345034
142,Southwest Airlines,21171,3488,32.7766642,-96.7969879
143,ManpowerGroup,21034,545.4,43.0389025,-87.9064736
144,Thermo Fisher Scientific,20918,2225,42.3764852,-71.2356113
145,Bristol-Myers Squibb,20776,1007,40.7127753,-74.0059728
146,Halliburton,20620,-463,29.7604267,-95.3698028
147,Tenet Healthcare,20613,-704,32.7766642,-96.7969879
148,Lear,20467,1313.4,42.4733688,-83.2218731
149,Cummins,20428,999,39.2014404,-85.9213796
150,Micron Technology,20322,5089,43.6150186,-116.2023137
151,Nucor,20252,1318.7,35.2270869,-80.8431267
152,Molina Healthcare,19883,-512,33.7700504,-118.1937395
153,Fluor,19521,191.4,32.8140177,-96.9488945
154,Altria Group,19494,10222,37.5407246,-77.4360481
155,Paccar,19456,1675.2,47.6101497,-122.2015159
156,Hartford Financial Services,19228,-3131,41.7658043,-72.6733723
157,Kohls,19095,859,43.1788967,-88.1173132
158,Western Digital,19093,397,37.3382082,-121.8863286
159,Jabil,19063.1,129.1,27.7676008,-82.6402915
160,Community Health Systems,18477,-2459,35.9250637,-86.8688899
161,Visa,18358,6699,37.7749295,-122.4194155
162,Danaher,18330,2492.1,47.7510741,-120.7401385
163,Kimberly-Clark,18259,2278,32.8140177,-96.9488945
164,AECOM,18203,339.4,34.0522342,-118.2436849
165,PNC Financial Services,18035,5338,40.4406248,-79.9958864
166,CenturyLink,17656,1389,32.5093109,-92.1193012
167,NextEra Energy,17195,5378,26.8797819,-80.0533743
